neighborhood_name,district_number,number_of_food_source_quantity_places
ABELL,14,114
ALLENDALE,8,121
ARCADIA,3,79
ARLINGTON,5,93
ARMISTEAD GARDENS,2,94
ASHBURTON,7,229
BALTIMORE HIGHLANDS,2,94
BARCLAY,12,254
BARRE CIRCLE,10,210
BAYVIEW,1,139
BEECHFIELD,8,121
BELAIR-EDISON,2,94
BELAIR-PARKSIDE,3,79
BELLONA-GITTINGS,4,90
BELVEDERE,4,90
BEREA,13,171
BETTER WAVERLY,14,114
BEVERLY HILLS,3,79
BIDDLE STREET,13,171
BLYTHEWOOD,6,156
BOLTON HILL,11,227
BOYD-BOOTH,9,246
BREWERS HILL,1,139
BRIDGEVIEW/GREENLAWN,9,246
BROADWAY EAST,13,171
BROENING MANOR,1,139
BROOKLYN,10,210
BURLEITH-LEIGHTON,7,229
BUTCHER'S HILL,13,171
CALLAWAY-GARRISON,6,156
CAMERON VILLAGE,4,90
CANTON,1,139
CANTON INDUSTRIAL AREA,1,139
CARE,13,171
CARROLL - CAMDEN INDUSTRIAL AREA,10,210
CARROLL PARK,10,210
CARROLL-SOUTH HILTON,9,246
CARROLLTON RIDGE,9,246
CEDARCROFT,4,90
CEDMONT,2,94
CEDONIA,2,94
CENTRAL FOREST PARK,6,156
CENTRAL PARK HEIGHTS,6,156
CHARLES NORTH,12,254
CHARLES VILLAGE,14,114
CHERRY HILL,10,210
CHESWOLDE,5,93
CHINQUAPIN PARK,4,90
CLIFTON PARK,14,114
COLDSPRING,6,156
COLDSTREAM HOMESTEAD MONTEBELLO,14,114
CONCERNED CITIZENS OF FOREST PARK,6,156
COPPIN HEIGHTS/ASH-CO-EAST,7,229
CROSS COUNTRY,5,90
CROSS KEYS,6,156
CURTIS BAY,10,210
CURTIS BAY INDUSTRIAL AREA,10,210
CYLBURN,6,156
DARLEY PARK,12,254
DICKEYVILLE,8,121
DOLFIELD,6,156
DORCHESTER,6,156
DOWNTOWN,11,227
DOWNTOWN WEST,11,227
DRUID HEIGHTS,11,227
DRUID HILL PARK,7,229
DUNBAR-BROADWAY,12,254
DUNDALK MARINE TERMINAL,1,139
EAST ARLINGTON,6,156
EAST BALTIMORE MIDWAY,12,254
EASTERWOOD,7,229
EASTWOOD,1,139
EDGEWOOD,8,121
EDMONDSON VILLAGE,8,121
EDNOR GARDENS-LAKESIDE,14,114
ELLWOOD PARK/MONUMENT,13,171
EVERGREEN,6,156
EVERGREEN LAWN,9,246
EVESHAM PARK,4,90
FAIRFIELD AREA,10,210
FAIRMONT,7,229
FALLSTAFF,5,93
FEDERAL HILL,11,227
FELLS POINT,1,139
FOREST PARK,6,156
FOREST PARK GOLF COURSE,8,121
FOUR BY FOUR,13,171
FRANKFORD,2,94
FRANKLIN SQUARE,9,246
FRANKLINTOWN,8,121
FRANKLINTOWN ROAD,9,246
GARWYN OAKS,6,156
GAY STREET,12,254
GLEN,5,93
GLEN OAKS,4,90
GLENHAM-BELHAR,2,94
GRACELAND PARK,1,139
GREEKTOWN,1,139
GREENMOUNT CEMETERY,12,254
GREENMOUNT WEST,12,254
GREENSPRING,6,156
GROVE PARK,5,93
GUILFORD,4,90
GWYNNS FALLS,10,210
GWYNNS FALLS/LEAKIN PARK,8,121
HAMILTON HILLS,3,79
HAMPDEN,14,114
HANLON-LONGWOOD,7,229
HARLEM PARK,9,246
HARWOOD,12,254
HAWKINS POINT,10,210
HERITAGE CROSSING,11,227
HERRING RUN PARK,3,79
HIGHLANDTOWN,2,94
HILLEN,3,79
HOES HEIGHTS,14,114
HOLABIRD INDUSTRIAL PARK,1,139
HOLLINS MARKET,9,246
HOMELAND,4,90
HOPKINS BAYVIEW,1,139
HOWARD PARK,8,121
HUNTING RIDGE,8,121
IDLEWOOD,4,90
INNER HARBOR,11,227
IRVINGTON,8,121
JOHNS HOPKINS HOMEWOOD,14,114
JOHNSTON SQUARE,12,254
JONES FALLS AREA,7,229
JONESTOWN,12,254
KENILWORTH PARK,4,90
KERNEWOOD,4,90
KESWICK,14,114
KRESSON,2,94
LAKE EVESHAM,4,90
LAKE WALKER,4,90
LAKELAND,10,210
LANGSTON HUGHES,6,156
LAURAVILLE,3,79
LEVINDALE,6,156
LIBERTY SQUARE,7,229
LITTLE ITALY,1,139
LOCH RAVEN,4,90
LOCUST POINT,11,227
LOCUST POINT INDUSTRIAL AREA,11,227
LOWER EDMONDSON VILLAGE,8,121
LOWER HERRING RUN PARK,2,94
LOYOLA/NOTRE DAME,4,90
LUCILLE PARK,6,156
MADISON PARK,11,227
MADISON-EASTEND,13,171
MAYFIELD,14,114
MCELDERRY PARK,13,171
MEDFIELD,7,229
MEDFORD,1,139
MID-GOVANS,4,90
MID-TOWN BELVEDERE,11,227
MIDDLE BRANCH/REEDBIRD PARKS,10,210
MIDDLE EAST,13,171
MIDTOWN-EDMONDSON,9,246
MILLHILL,9,246
MILTON-MONTFORD,13,171
MONDAWMIN,7,229
MONTEBELLO,14,114
MORAVIA-WALTHER,3,79
MORGAN PARK,3,79
MORGAN STATE UNIVERSITY,3,79
MORRELL PARK,10,210
MOSHER,9,246
MOUNT HOLLY,7,229
MOUNT VERNON,11,227
MOUNT WASHINGTON,5,93
MOUNT WINANS,10,210
MT PLEASANT PARK,3,79
NEW NORTHWOOD,4,90
NEW SOUTHWEST/MOUNT CLARE,9,246
NORTH HARFORD ROAD,2,94
NORTH ROLAND PARK/POPLAR HILL,5,93
NORTHWEST COMMUNITY ACTION,7,229
O\'DONNELL HEIGHTS,1,139
OAKENSHAWE,14,114
OAKLEE,10,210
OLD GOUCHER,12,254
OLDTOWN,12,254
OLIVER,12,254
ORANGEVILLE,2,94
ORANGEVILLE INDUSTRIAL AREA,13,171
ORCHARD RIDGE,13,171
ORIGINAL NORTHWOOD,14,114
OTTERBEIN,11,227
OVERLEA,2,94
PANWAY/BRADDISH AVENUE,7,229
PARK CIRCLE,6,156
PARKLANE,6,156
PARKSIDE,2,94
PARKVIEW/WOODBROOK,7,229
PATTERSON PARK,1,139
PATTERSON PARK NEIGHBORHOOD,1,139
PATTERSON PLACE,13,171
PEN LUCY,4,90
PENN NORTH,7,229
PENN-FALLSWAY,11,227
PENROSE/FAYETTE STREET OUTREACH,9,246
PERKINS HOMES,12,254
PERRING LOCH,3,79
PIMLICO GOOD NEIGHBORS,5,93
PLEASANT VIEW GARDENS,12,254
POPPLETON,11,227
PORT COVINGTON,11,227
PULASKI INDUSTRIAL AREA,2,94
PURNELL,8,121
RADNOR-WINSTON,4,90
RAMBLEWOOD,4,90
REISTERSTOWN STATION,5,93
REMINGTON,14,114
RESERVOIR HILL,7,229
RICHNOR SPRINGS,4,90
RIDGELY'S DELIGHT,11,227
RIVERSIDE,11,227
ROGNEL HEIGHTS,8,121
ROLAND PARK,14,114
ROSEBANK,4,90
ROSEMONT,7,229
ROSEMONT EAST,2,94
ROSEMONT HOMEOWNERS/TENANTS,9,246
SABINA-MATTFELDT,5,93
SAINT AGNES,8,121
SAINT HELENA,1,139
SAINT JOSEPHS,8,121
SAINT PAUL,10,210
SANDTOWN-WINCHESTER,7,229
SETON BUSINESS PARK,5,93
SETON HILL,11,227
SHARP-LEADENHALL,11,227
SHIPLEY HILL,9,246
SOUTH BALTIMORE,11,227
SOUTH CLIFTON PARK,12,254
SPRING GARDEN INDUSTRIAL AREA,11,227
STADIUM AREA,10,210
STONEWOOD-PENTWOOD-WINSTON,3,79
TAYLOR HEIGHTS,2,94
TEN HILLS,8,121
THE ORCHARDS,5,93
TOWANDA-GRANTLEY,6,156
TREMONT,8,121
TUSCANY-CANTERBURY,14,114
UNION SQUARE,9,246
UNIVERSITY OF MARYLAND,11,227
UPLANDS,8,121
UPPER FELLS POINT,1,139
UPTON,11,227
VILLAGES OF HOMELAND,4,90
VIOLETVILLE,10,210
WAKEFIELD,8,121
WALBROOK,7,229
WALTHERSON,2,94
WASHINGTON HILL,13,171
WASHINGTON VILLAGE/PIGTOWN,10,210
WAVERLY,14,114
WEST ARLINGTON,6,156
WEST FOREST PARK,8,121
WEST HILLS,8,121
WESTFIELD,2,94
WESTGATE,8,121
WESTPORT,10,210
WILHELM PARK,10,210
WILSON PARK,4,90
WINCHESTER,9,246
WINDSOR HILLS,6,156
WINSTON-GOVANS,4,90
WOODBERRY,7,229
WOODBOURNE HEIGHTS,4,90
WOODBOURNE-MCCABE,4,90
WOODMERE,5,93
WRENLANE,4,90
WYMAN PARK,14,114
WYNDHURST,6,156
YALE HEIGHTS,8,121
YORK-HOMELAND,4,90